og,oo,cg,co
Brown_University_HK,Indian_Institute_of_Technology_Bombay_A,International_Islamic_University_Malaysia_B,International_Islamic_University_Malaysia_A
Osaka_University_Japan_A,Dartmouth_College_B,Nanyang_Technological_University_C,Chulalongkorn_University_B
Jahangirnagar_University_A_💻,Victoria_University_of_Wellington_2,Fudan_University_A,University_of_St_Andrews_A_💻
Mindanao_State_University_-_General_Santos_City_A_💻,The_University_of_Tokyo_D,University_Of_Stellenbosch_Debate_Union_A,Swing_1
University_College_London_A,Beijing_Foreign_Studies_University_A,University_of_Technology_MARA_B,Sciences_Po_C
Joint,University_of_Ottawa_A,University_of_Chicago_C,University_of_Sydney_Union_D
Hart_House_A,Indian_Institute_of_Technology_Bombay_C,Dartmouth_College_A,University_of_Sydney_Union_B
Columbia_University_B,Redacted_A_💻,Ateneo_de_Manila_University_TV,University_of_Waterloo_Canada_C
Davidson_College_1,University_of_Oxford_C,University_of_Colombo_Sri_Lanka_A_💻,Tenaga_Nasional_University_Malaysia_A
Princeton_University_C,Nanyang_Technological_University_B,Sunway_University_Malaysia_A,University_of_Auckland_B
University_of_Macau_B,Waseda_University_Japan_B,University_of_Rochester_IL,Fordham_University_B
Swing_2,Symbiosis_Law_School_Pune_A,National_Economics_University_A,University_of_Southern_California_A
University_of_Sydney_Union_A,Ateneo_de_Manila_University_LN,University_of_Cape_Town_C,Hanyang_University_A
Macau_University_of_Science_and_Technology_B,Singapore_University_of_Social_Sciences_A,Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_CF,Sekolah_Tinggi_Bahasa_Asing_-_Persahabatan_International_Asia_A
University_of_Canterbury_A,University_of_Chicago_A,Glasgow_University_Union_A,University_of_Alberta_A
University_of_Zagreb_A,University_of_Belgrade_D,Australian_National_University_B,Chulalongkorn_University_C
The_University_of_Hong_Kong_A,Victoria_University_of_Wellington_V1,Colgate_University_A,Bates_College_CN
University_of_Sydney_Union_C,Stanford_University_A,University_of_Auckland_D,University_of_Arts_Belgrade_A
De_La_Salle_University_HD,City_University_of_Hong_Kong_HK,President_University_Indonesia_A,The_University_of_Tokyo_C
Princeton_University_E,Colgate_University_B,Universidad_del_Rosario_A,Indira_Gandhi_National_Open_University_A
Keio_University_Japan_SG,Independent_University_Bangladesh_A,Xavier_University_-_Ateneo_de_Cagayan_A_💻,University_of_Zimbabwe_A_💻
University_of_Belgrade_E,University_of_Alberta_B,Hobart_and_William_Smith_Colleges_A,The_University_of_Melbourne_B
Queensland_University_of_Technology_A,Brawijaya_University_A,Keio_University_Japan_YF,Yale-NUS_College_A
Yale_University_B,University_of_Queensland_B,University_of_Adelaide_1,Vanderbilt_University_B
Ateneo_de_Davao_University_A,Atma_Jaya_Catholic_University_Of_Indonesia_A,Drexel_University_A_💻,Sunway_University_Malaysia_B
The_University_of_Tokyo_B,University_of_New_South_Wales_C,Duke_University_C,University_of_the_Philippines_Los_Baños_A
De_La_Salle_University_EJ,Singapore_Management_University_B,Harvard_College_E,Foreign_Trade_University_A
Yonsei_University_PL,Macquarie_University_B,FPT_University_Sirius,Middlebury_College_SS
Ateneo_de_Manila_University_SY,University_of_Auckland_A,Instituto_Tecnológico_y_de_Estudios_Superiores_de_Monterrey_Campus_Estado_de_México_A,University_of_British_Columbia_A
Brown_University_A,National_University_of_Singapore_D,University_of_the_Philippines_Diliman_B,University_of_the_Philippines_Diliman_A
Berlin_Debating_Union_A,Princeton_University_B,Split_Debating_Union_-_University_of_Split_A,ETH_Zurich/University_of_Zurich_A
University_of_Sydney_Union_E,Stanford_University_G,Harvard_College_C,University_of_New_South_Wales_A
Diplomatic_Academy_of_Vietnam_A,Royal_Institute_of_Colombo_A,Universitas_Gadjah_Mada_A,FPT_University_IT
University_of_Technology_MARA_C,Lewis_&_Clark_College_A,Multimedia_University_A,Macau_University_of_Science_and_Technology_C
Sciences_Po_B,University_of_Chicago_B,Columbia_University_A,Harvard_College_B
The_University_Philosophical_Society_B,Queen’s_Debating_Union_Queen’s_University_A,The_University_of_Melbourne_A,Brickfields_Asia_College_Malaysia_A
University_of_Western_Ontario_Debate_Society_A,University_of_Sydney_Union_G,Cambridge_Union_Society_B,University_of_Sydney_Union_F
Columbia_University_C,Nanyang_Technological_University_A,Kwame_Nkrumah_University_of_Science_and_Technology_A,University_College_London_B
Diplomatic_Academy_of_Vietnam_C,Hart_House_B,McGill_University_C,Stanford_University_D
Delhi_Technological_University_1,Princeton_University_G,De_La_Salle_University_PG,Ateneo_de_Manila_University_CF
Sciences_Po_A,Princeton_University_A,McGill_University_A,Chulalongkorn_University_A
Cambridge_Union_Society_A,Stanford_University_F,Turan_A,University_of_New_South_Wales_B
The_Hong_Kong_Polytechnic_University_A,Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_AH,Yonsei_University_KC,Universidad_San_Francisco_de_Quito_DS
Vanderbilt_University_A,KNUST_OBUASI_CAMPUS_A_💻,Brickfields_Asia_College_Malaysia_B,Cornell_University_B
University_of_Alaska_Anchorage_A,Ateneo_de_Manila_University_BG,Haifa_University_A_💻,University_of_Pennsylvania_A
Telkom_University_Telkom,Universitas_Udayana_A,Asia_Pacific_Institute_of_Information_Technology_A_💻,Singapore_Management_University_C
Midlands_State_University_B,National_University_of_Singapore_C,University_of_Wollongong_A,University_of_Waterloo_Canada_A
Durham_University_RS,Hankuk_University_of_Foreign_Studies_A,Australian_National_University_A,Bates_College_MB
Durham_University_AW,The_University_Philosophical_Society_A,Swarthmore_College_A,Midlands_State_University_A
Stanford_University_B,Higher_School_of_Economics_(Saint-Petersburg)_A,The_University_of_Melbourne_C,Cambridge_Union_Society_C
University_of_Chicago_D,National_University_of_Singapore_B,University_of_Belgrade_B,University_of_Belgrade_C
Kwame_Nkrumah_University_of_Science_and_Technology_C_💻,University_of_California_Berkeley_A,Amherst_College_MZ,Khulna_University_of_Engineering_&_Technology_A_💻
Nanyang_Technological_University_D,Macquarie_University_C,Carleton_University_A,University_of_Queensland_C
RMIT_University_A,Doshisha_University_A,Colgate_University_C,The_Chinese_University_of_Hong_Kong_A
Amherst_College_GD,University_of_Auckland_C,Stanford_University_C,The_University_of_Hong_Kong_D
Cornell_University_A,University_of_California_Los_Angeles_A,University_of_Cape_Town_A,Duke_University_B
The_University_of_Hong_Kong_B,Fordham_University_C,Brickfields_Asia_College_Malaysia_C,University_of_Chicago_E
Hanyang_University_B,Hart_House_C,The_University_of_Hong_Kong_C,Princeton_University_D
Tel_Aviv_University_A,University_of_Oxford_A,Kwame_Nkrumah_University_of_Science_and_Technology_B,University_of_Oxford_B
Bina_Nusantara_University_B,University_of_Pennsylvania_B,Fordham_University_A,Diplomatic_Academy_of_Vietnam_B
Bates_College_LA,University_of_New_South_Wales_E,Thammasat_University_Thailand_A,Dartmouth_College_C
Debatte_Karlsruhe_e.V._Germany_KIT,University_of_Santo_Tomas_A,Middlebury_College_CG,Rhodes_University_1
National_University_of_Singapore_A,University_of_Queensland_A,Universitas_Indonesia_1,University_of_Edinburgh_Debates_Union_A
Strathmore_University_A,Princeton_University_F,Deen_Dayal_Upadhyaya_College_A,Waseda_University_Japan_X
University_of_Belgrade_A,University_of_Macau_A,Hobart_and_William_Smith_Colleges_B,The_University_of_Tokyo_A
Indian_Institute_of_Technology_Bombay_B,University_of_Western_Ontario_Debate_Society_B,Vellore_Institute_of_Technology_A,University_of_Cape_Town_B
Singapore_Management_University_D,University_of_New_South_Wales_D,Duke_University_A,University_of_Bucharest_Romania_B
McGill_University_B,Cambridge_Union_Society_D,Tsinghua_University_A,Harvard_College_A
BeiHang_University_A,University_of_Waterloo_Canada_B,FPT_University_A,Macau_University_of_Science_and_Technology_A
Yale_University_A,McGill_University_D,Seoul_National_University_A,University_of_Technology_MARA_A
Harvard_College_D,Hankuk_University_of_Foreign_Studies_B,Stanford_University_E,Macquarie_University_A
Middlebury_College_SW,University_of_Warsaw_Warsaw_Poland_A,University_of_Ilorin_Nigeria_A_💻,Cornell_University_C
University_of_Bucharest_Romania_A,University_of_Sydney_Union_H,Bina_Nusantara_University_A,Weizmann_Institute_of_Science_A
National_Law_Institute_University_Bhopal_A,University_of_Technology_MARA_D,Drexel_University_B,Queen’s_Debating_Union_Queen’s_University_B
