og,oo,cg,co
Chulalongkorn_University_C,Dartmouth_College_C,Telkom_University_Telkom,University_of_Alberta_B
Yonsei_University_KC,Kwame_Nkrumah_University_of_Science_and_Technology_A,University_of_New_South_Wales_E,University_of_Warsaw_Warsaw_Poland_A
Macquarie_University_C,Colgate_University_C,The_University_of_Hong_Kong_A,University_of_Pennsylvania_B
University_of_the_Philippines_Diliman_A,Brown_University_HK,Princeton_University_B,Ateneo_de_Manila_University_LN
Split_Debating_Union_-_University_of_Split_A,University_of_Macau_B,Manado_State_University_MSU,Vanderbilt_University_A
Cambridge_Union_Society_C,Harvard_College_A,National_University_of_Singapore_D,Glasgow_University_Union_A
Vanderbilt_University_B,University_of_Sydney_Union_D,Singapore_University_of_Social_Sciences_A,Princeton_University_F
Colgate_University_A,Yale-NUS_College_A,Princeton_University_C,University_of_Rochester_IL
Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_CF,Universitas_Gadjah_Mada_A,University_of_Bucharest_Romania_B,The_University_of_Tokyo_D
Sciences_Po_C,International_Islamic_University_Malaysia_B,University_of_Alberta_A,Australian_National_University_A
Brawijaya_University_A,The_University_Philosophical_Society_B,Waseda_University_Japan_X,Amherst_College_GD
Dartmouth_College_A,University_of_Sydney_Union_A,Ateneo_de_Manila_University_CF,Bina_Nusantara_University_B
McGill_University_A,Australian_National_University_B,Yale_University_B,Hankuk_University_of_Foreign_Studies_A
University_of_Waterloo_Canada_B,University_of_Alaska_Anchorage_A,The_University_of_Hong_Kong_D,University_of_New_South_Wales_D
Universidad_San_Francisco_de_Quito_DS,University_of_Western_Ontario_Debate_Society_A,University_of_Oxford_C,Indian_Institute_of_Technology_Bombay_B
University_of_Auckland_A,University_of_Belgrade_A,University_of_Queensland_A,University_of_Oxford_B
University_of_Adelaide_1,Joint,The_University_of_Tokyo_A,University_of_Chicago_D
University_of_New_South_Wales_C,Stanford_University_A,University_of_Arts_Belgrade_A,University_of_Sydney_Union_B
De_La_Salle_University_PG,Swarthmore_College_A,Nanyang_Technological_University_B,Columbia_University_B
University_of_Technology_MARA_B,University_of_Sydney_Union_E,Stanford_University_B,Nanyang_Technological_University_A
University_of_Chicago_E,Universidad_del_Rosario_A,Victoria_University_of_Wellington_V1,Yale_University_A
The_University_of_Melbourne_C,University_of_New_South_Wales_B,University_of_California_Los_Angeles_A,University_of_Belgrade_B
Brickfields_Asia_College_Malaysia_A,Jahangirnagar_University_A_💻,City_University_of_Hong_Kong_HK,Fordham_University_C
Khulna_University_of_Engineering_&_Technology_A_💻,Fordham_University_B,Dartmouth_College_B,Fudan_University_A
Universitas_Indonesia_1,University_Of_Stellenbosch_Debate_Union_A,De_La_Salle_University_HD,McGill_University_B
Bates_College_MB,University_of_Ilorin_Nigeria_A_💻,Singapore_Management_University_D,Thammasat_University_Thailand_A
University_of_the_Philippines_Diliman_B,Stanford_University_E,University_of_Sydney_Union_G,McGill_University_D
University_of_Sydney_Union_H,The_University_of_Melbourne_A,Duke_University_B,Sunway_University_Malaysia_A
Cambridge_Union_Society_B,Princeton_University_D,Cornell_University_B,Keio_University_Japan_SG
University_of_Santo_Tomas_A,University_of_Zimbabwe_A_💻,Swing_2,University_of_Colombo_Sri_Lanka_A_💻
Symbiosis_Law_School_Pune_A,Singapore_Management_University_C,Ateneo_de_Manila_University_TV,University_of_Western_Ontario_Debate_Society_B
