og,oo,cg,co
McGill_University_D,University_College_London_B,Princeton_University_C,McGill_University_B
Singapore_Management_University_C,University_of_Chicago_D,Deen_Dayal_Upadhyaya_College_A,Dartmouth_College_C
University_of_Belgrade_E,University_of_Zimbabwe_A_💻,University_of_Ilorin_Nigeria_A_💻,Vanderbilt_University_A
Drexel_University_A_💻,Split_Debating_Union_-_University_of_Split_A,The_University_of_Hong_Kong_A,Joint
Queensland_University_of_Technology_A,FPT_University_A,Brickfields_Asia_College_Malaysia_B,President_University_Indonesia_A
Hart_House_A,Brown_University_A,University_of_Sydney_Union_G,Stanford_University_B
University_of_Macau_B,Bates_College_LA,Chulalongkorn_University_A,The_University_of_Tokyo_C
Nanyang_Technological_University_C,Harvard_College_B,Harvard_College_E,Kwame_Nkrumah_University_of_Science_and_Technology_B
Turan_A,Diplomatic_Academy_of_Vietnam_C,Vellore_Institute_of_Technology_A,Yonsei_University_KC
University_of_Auckland_B,Telkom_University_Telkom,Amherst_College_GD,Bina_Nusantara_University_B
Chulalongkorn_University_C,Osaka_University_Japan_A,University_of_Alaska_Anchorage_A,University_of_Bucharest_Romania_B
Stanford_University_C,Macquarie_University_A,University_of_Pennsylvania_A,Sciences_Po_A
University_of_Technology_MARA_C,The_University_of_Melbourne_B,University_of_Sydney_Union_A,Indian_Institute_of_Technology_Bombay_C
University_of_Auckland_C,Sciences_Po_B,University_of_Belgrade_D,Swing_1
National_Economics_University_A,Macau_University_of_Science_and_Technology_B,Tsinghua_University_A,Manado_State_University_MSU
Hanyang_University_B,University_of_Colombo_Sri_Lanka_A_💻,Sunway_University_Malaysia_B,Amherst_College_MZ
University_of_Arts_Belgrade_A,Nanyang_Technological_University_A,Indira_Gandhi_National_Open_University_A,Indian_Institute_of_Technology_Bombay_A
Symbiosis_Law_School_Pune_A,Stanford_University_G,University_of_Wollongong_A,Brown_University_HK
Fordham_University_C,KNUST_OBUASI_CAMPUS_A_💻,Fordham_University_B,Jahangirnagar_University_A_💻
Universitas_Udayana_A,University_of_New_South_Wales_E,University_of_Technology_MARA_D,Sciences_Po_C
Atma_Jaya_Catholic_University_Of_Indonesia_A,Independent_University_Bangladesh_A,Columbia_University_A,Swarthmore_College_A
Hobart_and_William_Smith_Colleges_B,Stanford_University_A,Dartmouth_College_A,Princeton_University_A
Stanford_University_F,University_of_Cape_Town_A,University_of_the_Philippines_Diliman_A,University_Of_Stellenbosch_Debate_Union_A
University_of_Oxford_A,McGill_University_A,University_of_Sydney_Union_B,Tel_Aviv_University_A
Macquarie_University_C,Foreign_Trade_University_A,Yonsei_University_PL,Ateneo_de_Davao_University_A
De_La_Salle_University_PG,Hart_House_C,Bina_Nusantara_University_A,The_University_of_Tokyo_A
Cambridge_Union_Society_A,The_University_Philosophical_Society_B,Delhi_Technological_University_1,Princeton_University_B
University_of_Pennsylvania_B,Fudan_University_A,Lewis_&_Clark_College_A,The_University_of_Hong_Kong_B
Chulalongkorn_University_B,Brawijaya_University_A,Sekolah_Tinggi_Bahasa_Asing_-_Persahabatan_International_Asia_A,Colgate_University_C
Indian_Institute_of_Technology_Bombay_B,Glasgow_University_Union_A,Ateneo_de_Manila_University_BG,Australian_National_University_B
Kwame_Nkrumah_University_of_Science_and_Technology_C_💻,University_of_Waterloo_Canada_B,Diplomatic_Academy_of_Vietnam_B,Singapore_University_of_Social_Sciences_A
Cornell_University_B,Columbia_University_B,Colgate_University_B,Seoul_National_University_A
Victoria_University_of_Wellington_V1,Queen’s_Debating_Union_Queen’s_University_B,University_of_Cape_Town_B,University_of_Macau_A
Waseda_University_Japan_X,Hobart_and_William_Smith_Colleges_A,University_of_Western_Ontario_Debate_Society_B,Yale-NUS_College_A
University_of_Technology_MARA_A,National_University_of_Singapore_C,Strathmore_University_A,The_University_of_Tokyo_D
Haifa_University_A_💻,University_of_the_Philippines_Los_Baños_A,Universitas_Indonesia_1,Duke_University_A
University_of_Sydney_Union_H,University_of_Oxford_B,Yale_University_A,University_of_California_Los_Angeles_A
University_of_Auckland_D,Ateneo_de_Manila_University_TV,University_of_Southern_California_A,University_of_Belgrade_B
Harvard_College_D,University_of_Sydney_Union_E,University_of_Belgrade_A,University_of_Chicago_B
City_University_of_Hong_Kong_HK,Royal_Institute_of_Colombo_A,University_of_Ottawa_A,Singapore_Management_University_B
Middlebury_College_SW,Carleton_University_A,Drexel_University_B,Brickfields_Asia_College_Malaysia_A
Hanyang_University_A,Macau_University_of_Science_and_Technology_A,Cornell_University_C,Thammasat_University_Thailand_A
University_of_Adelaide_1,Nanyang_Technological_University_B,University_of_New_South_Wales_B,University_of_Chicago_C
National_University_of_Singapore_A,Princeton_University_G,University_of_Queensland_A,Cambridge_Union_Society_B
FPT_University_IT,Colgate_University_A,Doshisha_University_A,Debatte_Karlsruhe_e.V._Germany_KIT
Davidson_College_1,National_University_of_Singapore_D,Midlands_State_University_B,Universitas_Gadjah_Mada_A
University_of_Alberta_B,Midlands_State_University_A,The_Chinese_University_of_Hong_Kong_A,Middlebury_College_SS
Middlebury_College_CG,Diplomatic_Academy_of_Vietnam_A,BeiHang_University_A,University_of_Cape_Town_C
University_of_Canterbury_A,Singapore_Management_University_D,Duke_University_B,Ateneo_de_Manila_University_SY
The_University_of_Melbourne_A,Yale_University_B,National_Law_Institute_University_Bhopal_A,Sunway_University_Malaysia_A
Durham_University_RS,University_of_Chicago_A,University_of_New_South_Wales_C,Princeton_University_E
Ateneo_de_Manila_University_CF,Higher_School_of_Economics_(Saint-Petersburg)_A,Cambridge_Union_Society_C,Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_CF
University_of_Waterloo_Canada_C,Universidad_San_Francisco_de_Quito_DS,International_Islamic_University_Malaysia_B,University_of_Technology_MARA_B
University_of_Bucharest_Romania_A,Australian_National_University_A,Harvard_College_A,University_of_Sydney_Union_F
The_University_of_Tokyo_B,University_of_Alberta_A,National_University_of_Singapore_B,Stanford_University_E
Waseda_University_Japan_B,The_Hong_Kong_Polytechnic_University_A,Macquarie_University_B,Multimedia_University_A
The_University_of_Hong_Kong_D,Queen’s_Debating_Union_Queen’s_University_A,University_of_Auckland_A,The_University_of_Melbourne_C
De_La_Salle_University_EJ,Ateneo_de_Manila_University_LN,University_of_the_Philippines_Diliman_B,University_of_Edinburgh_Debates_Union_A
Harvard_College_C,University_of_New_South_Wales_A,University_of_Zagreb_A,Hankuk_University_of_Foreign_Studies_A
Hart_House_B,University_of_California_Berkeley_A,McGill_University_C,Stanford_University_D
Victoria_University_of_Wellington_2,Duke_University_C,Dartmouth_College_B,University_of_St_Andrews_A_💻
University_of_Sydney_Union_C,University_of_Sydney_Union_D,University_of_Western_Ontario_Debate_Society_A,Cornell_University_A
The_University_Philosophical_Society_A,University_of_New_South_Wales_D,Durham_University_AW,University_of_Belgrade_C
Redacted_A_💻,International_Islamic_University_Malaysia_A,Princeton_University_D,Tenaga_Nasional_University_Malaysia_A
University_of_Queensland_C,University_of_Santo_Tomas_A,De_La_Salle_University_HD,Berlin_Debating_Union_A
University_of_Waterloo_Canada_A,Beijing_Foreign_Studies_University_A,RMIT_University_A,The_University_of_Hong_Kong_C
Nanyang_Technological_University_D,University_College_London_A,Princeton_University_F,University_of_Oxford_C
Macau_University_of_Science_and_Technology_C,University_of_Warsaw_Warsaw_Poland_A,Instituto_Tecnológico_y_de_Estudios_Superiores_de_Monterrey_Campus_Estado_de_México_A,Brickfields_Asia_College_Malaysia_C
Vanderbilt_University_B,Keio_University_Japan_SG,University_of_Rochester_IL,Bates_College_MB
University_of_British_Columbia_A,Columbia_University_C,Kwame_Nkrumah_University_of_Science_and_Technology_A,University_of_Queensland_B
Weizmann_Institute_of_Science_A,Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_AH,Rhodes_University_1,Cambridge_Union_Society_D
Bates_College_CN,Keio_University_Japan_YF,Hankuk_University_of_Foreign_Studies_B,Universidad_del_Rosario_A
