og,oo,cg,co
University_of_Wollongong_A,Waseda_University_Japan_X,ETH_Zurich/University_of_Zurich_A,Drexel_University_A_💻
Hobart_and_William_Smith_Colleges_B,Fordham_University_A,Higher_School_of_Economics_(Saint-Petersburg)_A,Victoria_University_of_Wellington_V1
University_of_Queensland_B,The_University_of_Melbourne_C,University_of_Oxford_A,Princeton_University_A
Australian_National_University_B,University_of_Sydney_Union_F,University_of_Chicago_B,Hart_House_B
University_of_Technology_MARA_A,Dartmouth_College_A,Stanford_University_D,Delhi_Technological_University_1
Fordham_University_C,University_of_Rochester_IL,Khulna_University_of_Engineering_&_Technology_A_💻,International_Islamic_University_Malaysia_B
Stanford_University_G,Sciences_Po_B,Princeton_University_F,University_of_Chicago_C
Nanyang_Technological_University_C,Cornell_University_A,Indian_Institute_of_Technology_Bombay_B,University_of_Adelaide_1
Yale-NUS_College_A,Australian_National_University_A,Sunway_University_Malaysia_B,Berlin_Debating_Union_A
Thammasat_University_Thailand_A,Carleton_University_A,Cambridge_Union_Society_D,Split_Debating_Union_-_University_of_Split_A
University_of_Cape_Town_C,Swing_1,Vanderbilt_University_B,Middlebury_College_SW
Lewis_&_Clark_College_A,Macau_University_of_Science_and_Technology_A,Brawijaya_University_A,Universitas_Gadjah_Mada_A
University_of_Oxford_C,Amherst_College_MZ,National_University_of_Singapore_B,Princeton_University_C
University_of_Belgrade_D,Cambridge_Union_Society_C,University_of_Technology_MARA_C,Kwame_Nkrumah_University_of_Science_and_Technology_B
Ateneo_de_Manila_University_CF,University_of_Sydney_Union_B,University_of_Auckland_B,University_of_Sydney_Union_H
Nanyang_Technological_University_B,Yale_University_A,Hankuk_University_of_Foreign_Studies_A,Cambridge_Union_Society_B
Chulalongkorn_University_A,University_of_Sydney_Union_C,University_of_Alberta_B,Indian_Institute_of_Technology_Bombay_A
Dartmouth_College_C,University_of_Chicago_E,University_of_Western_Ontario_Debate_Society_A,Singapore_Management_University_B
Ateneo_de_Manila_University_LN,McGill_University_A,The_University_of_Tokyo_D,The_University_of_Melbourne_A
Fudan_University_A,Rhodes_University_1,Brickfields_Asia_College_Malaysia_A,Colgate_University_A
Cornell_University_C,University_of_Belgrade_E,Durham_University_RS,National_Economics_University_A
University_of_Belgrade_B,Columbia_University_A,University_of_Sydney_Union_D,University_of_Belgrade_A
Dartmouth_College_B,Tenaga_Nasional_University_Malaysia_A,Diplomatic_Academy_of_Vietnam_B,University_of_Alaska_Anchorage_A
University_of_Queensland_A,University_of_Pennsylvania_A,University_of_New_South_Wales_B,Singapore_University_of_Social_Sciences_A
FPT_University_IT,President_University_Indonesia_A,The_University_of_Hong_Kong_B,Tsinghua_University_A
Singapore_Management_University_C,Middlebury_College_SS,Hanyang_University_B,Colgate_University_C
Weizmann_Institute_of_Science_A,University_of_Arts_Belgrade_A,Columbia_University_C,University_of_Cape_Town_A
Harvard_College_C,The_University_of_Hong_Kong_D,Princeton_University_D,Diplomatic_Academy_of_Vietnam_A
Bates_College_CN,University_of_Waterloo_Canada_A,Harvard_College_B,Macquarie_University_B
Haifa_University_A_💻,De_La_Salle_University_HD,University_of_Macau_A,Osaka_University_Japan_A
Hart_House_C,Cornell_University_B,Atma_Jaya_Catholic_University_Of_Indonesia_A,University_of_Auckland_A
University_of_Zimbabwe_A_💻,University_of_Southern_California_A,University_of_Technology_MARA_D,University_of_Ilorin_Nigeria_A_💻
Harvard_College_E,University_of_Bucharest_Romania_B,Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_AH,National_Law_Institute_University_Bhopal_A
McGill_University_D,University_of_Edinburgh_Debates_Union_A,University_of_New_South_Wales_C,University_of_the_Philippines_Diliman_B
Instituto_Tecnológico_y_de_Estudios_Superiores_de_Monterrey_Campus_Estado_de_México_A,Sciences_Po_C,Independent_University_Bangladesh_A,Yonsei_University_PL
University_of_California_Los_Angeles_A,University_of_New_South_Wales_A,Stanford_University_A,University_of_Sydney_Union_E
The_Chinese_University_of_Hong_Kong_A,De_La_Salle_University_PG,University_of_Cape_Town_B,KNUST_OBUASI_CAMPUS_A_💻
University_of_Pennsylvania_B,Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_CF,Universitas_Udayana_A,University_of_Waterloo_Canada_B
The_University_of_Hong_Kong_C,Asia_Pacific_Institute_of_Information_Technology_A_💻,The_Hong_Kong_Polytechnic_University_A,Davidson_College_1
National_University_of_Singapore_D,Bina_Nusantara_University_B,Sciences_Po_A,Stanford_University_E
University_of_Ottawa_A,Bates_College_MB,University_College_London_B,Queen’s_Debating_Union_Queen’s_University_A
Keio_University_Japan_YF,University_of_the_Philippines_Diliman_A,Ateneo_de_Davao_University_A,University_of_Auckland_D
Hanyang_University_A,BeiHang_University_A,University_of_British_Columbia_A,Harvard_College_D
Doshisha_University_A,Debatte_Karlsruhe_e.V._Germany_KIT,Queensland_University_of_Technology_A,University_of_Macau_B
Hankuk_University_of_Foreign_Studies_B,Bina_Nusantara_University_A,Durham_University_AW,Duke_University_C
Stanford_University_F,University_of_the_Philippines_Los_Baños_A,Princeton_University_E,Ateneo_de_Manila_University_BG
Macquarie_University_A,University_College_London_A,Nanyang_Technological_University_A,Telkom_University_Telkom
University_of_New_South_Wales_D,Yale_University_B,Tel_Aviv_University_A,University_of_Auckland_C
Multimedia_University_A,Universitas_Indonesia_1,Macquarie_University_C,Strathmore_University_A
University_of_Sydney_Union_G,Stanford_University_B,The_University_Philosophical_Society_A,University_Of_Stellenbosch_Debate_Union_A
International_Islamic_University_Malaysia_A,Mindanao_State_University_-_General_Santos_City_A_💻,University_of_Western_Ontario_Debate_Society_B,University_of_Santo_Tomas_A
Indira_Gandhi_National_Open_University_A,Brown_University_A,University_of_Sydney_Union_A,University_of_Chicago_A
University_of_Warsaw_Warsaw_Poland_A,University_of_Canterbury_A,University_of_Bucharest_Romania_A,Indian_Institute_of_Technology_Bombay_C
University_of_Belgrade_C,Stanford_University_C,National_University_of_Singapore_A,McGill_University_C
Brickfields_Asia_College_Malaysia_B,Midlands_State_University_A,National_University_of_Singapore_C,The_University_of_Hong_Kong_A
Princeton_University_G,The_University_of_Tokyo_B,Chulalongkorn_University_C,Swarthmore_College_A
Waseda_University_Japan_B,University_of_Alberta_A,University_of_California_Berkeley_A,Brickfields_Asia_College_Malaysia_C
University_of_Queensland_C,Yonsei_University_KC,University_of_St_Andrews_A_💻,Macau_University_of_Science_and_Technology_B
